Sample,Sample location,Sample Date,Surface Chla all,Surface Phaeo all,Bottom Chla all,Bottom Phaeo all,surface chla <20 um,Surface Phaeo <20 um,Bottom Chla <20 um,Bottom Phaeo <20 um,,Sample Date,surface chla all,Surface Phaeo all,Bottom Chla all,Bottom Phaeo all,surface chla <20 um,Surface Phaeo <20 um,Bottom Chla <20 um,Bottom Phaeo <20 um,,,,,,,,,,,,,,,,,
073001,N. Bay sta. 2,30-Jul-01,6.01,1.10,3.99,2.33,3.53,1.85,1.63,1.69,,30-Jul-01,13.19,1.10,7.50,2.33,5.61,2.14,1.85,1.69,,,,,,,,,,,,,,,,,
080601,N. Bay sta. 2,06-Aug-01,4.37,3.29,7.12,3.71,2.72,2.13,3.65,2.45,,06-Aug-01,9.60,3.29,13.41,3.71,4.32,2.46,4.13,2.45,,,,,,,,,,,,,,,,,
081301,N. Bay sta. 2,13-Aug-01,21.82,11.42,12.22,8.75,17.43,9.98,13.32,10.71,,13-Aug-01,47.87,11.42,23.00,8.75,27.70,11.55,15.10,10.71,,,,,,,,,,,,,,,,,
082001,N. Bay sta. 2,20-Aug-01,4.53,2.56,3.41,2.79,2.60,2.57,2.17,3.14,,20-Aug-01,9.93,2.56,6.42,2.79,4.14,2.98,2.46,3.14,,,,,,,,,,,,,,,,,
082701,N. Bay sta. 2,27-Aug-01,4.51,2.66,3.49,3.35,2.57,2.33,2.65,2.94,,27-Aug-01,9.91,2.66,6.57,3.35,4.09,2.70,3.01,2.94,,,,,,,,,,,,,,,,,
090501,N. Bay sta. 2,05-Sep-01,5.48,3.26,5.45,4.18,3.58,3.61,2.77,3.29,,05-Sep-01,12.02,3.26,10.26,4.18,5.69,4.17,3.13,3.29,,,,,,,,,,,,,,,,,
091001,N. Bay sta. 2,17-Sep-01,4.90,3.30,5.27,5.91,3.65,3.31,3.17,5.91,,17-Sep-01,10.74,3.30,9.92,5.91,5.81,3.83,3.60,5.91,,,,,,,,,,,,,,,,,
091701,N. Bay sta. 2,17-Sep-01,2.44,1.83,1.74,2.03,1.96,1.60,1.64,1.54,,17-Sep-01,5.35,1.83,3.27,2.03,3.12,1.85,1.86,1.54,,,,,,,,,,,,,,,,,
092401,N. Bay sta. 2,24-Sep-01,8.15,3.08,2.91,2.27,4.02,2.41,2.21,1.90,,24-Sep-01,17.88,3.08,5.47,2.27,6.38,2.79,2.51,1.90,,,,,,,,,,,,,,,,,
100101,N. Bay sta. 2,01-Oct-01,4.08,3.88,4.37,3.29,2.41,2.98,2.13,3.07,,01-Oct-01,8.96,3.88,8.24,3.29,3.83,3.45,2.41,3.07,,,,,,,,,,,,,,,,,
100801,N. Bay sta. 2,08-Oct-01,2.92,1.99,4.17,1.94,1.47,1.59,1.97,1.74,,08-Oct-01,6.41,1.99,7.85,1.94,2.34,1.84,2.23,1.74,,,,,,,,,,,,,,,,,
101501,N. Bay sta. 2,15-Oct-01,1.91,1.71,2.12,2.09,1.33,1.32,1.25,1.55,,15-Oct-01,4.20,1.71,4.00,2.09,2.12,1.53,1.42,1.55,,,,,,,,,,,,,,,,,
102201,N. Bay sta. 2,22-Oct-01,3.76,2.85,3.49,2.56,1.41,1.09,1.29,1.23,,22-Oct-01,8.24,2.85,6.57,2.56,2.24,1.26,1.46,1.23,,,,,,,,,,,,,,,,,
102901,N. Bay sta. 2,29-Oct-01,3.00,1.42,2.61,1.33,2.29,1.25,1.56,1.16,,29-Oct-01,6.58,1.42,4.92,1.33,3.63,1.45,1.77,1.16,,,,,,,,,,,,,,,,,
110501,,05-Nov-01,5.50,1.99,4.22,1.89,3.75,1.35,2.89,1.25,,05-Nov-01,12.07,1.99,7.95,1.89,5.96,1.56,3.27,1.25,,,,,,,,,,,,,,,,,
111201,N. Bay sta. 2,12-Nov-01,4.26,2.30,4.01,2.16,2.98,1.23,2.83,1.35,,12-Nov-01,9.36,2.30,7.55,2.16,4.73,1.42,3.20,1.35,,,,,,,,,,,,,,,,,
111901,N. Bay sta. 2,19-Nov-01,2.24,1.45,2.22,1.45,0.99,0.90,0.92,0.91,,19-Nov-01,4.92,1.45,4.18,1.45,1.58,1.05,1.05,0.91,,,,,,,,,,,,,,,,,
112601,N. Bay sta. 2,26-Nov-01,2.61,0.96,1.67,1.74,1.73,0.74,1.00,1.16,,26-Nov-01,5.72,0.96,3.14,1.74,2.75,0.86,1.13,1.16,,,,,,,,,,,,,,,,,
120301,N. Bay sta. 2,03-Dec-01,1.74,1.21,1.06,1.12,1.43,1.08,0.77,0.92,,03-Dec-01,3.82,1.21,2.00,1.12,2.28,1.24,0.87,0.92,,,,,,,,,,,,,,,,,
121001,N. Bay sta. 2,10-Dec-01,1.08,1.13,0.92,1.12,1.09,1.11,0.85,1.13,,10-Dec-01,2.38,1.13,1.72,1.12,1.74,1.28,0.96,1.13,,,,,,,,,,,,,,,,,
121701,N. Bay sta. 2,17-Dec-01,1.11,1.08,0.99,0.94,1.04,0.83,0.96,1.05,,17-Dec-01,2.44,1.08,1.87,0.94,1.65,0.96,1.09,1.05,,,,,,,,,,,,,,,,,
122701,N. Bay sta. 2,27-Dec-01,2.10,1.08,1.63,1.09,1.43,0.95,1.76,1.01,,27-Dec-01,4.60,1.08,3.07,1.09,2.28,1.10,1.99,1.01,,,,,,,,,,,,,,,,,
123101,N. Bay sta. 2,31-Dec-01,0.39,0.70,0.38,0.70,0.42,0.56,0.35,0.59,,31-Dec-01,0.86,0.70,0.71,0.70,0.67,0.65,0.39,0.59,,,,,,,,,,,,,,,,,
010702,N. Bay sta. 2,07-Jan-02,0.59,0.71,0.78,0.67,0.63,0.67,0.66,0.68,,07-Jan-02,1.29,0.71,1.47,0.67,1.01,0.78,0.74,0.68,,,,,,,,,,,,,,,,,
011402,N. Bay sta. 2,14-Jan-02,0.41,0.49,0.49,0.65,0.50,0.62,0.44,0.54,,14-Jan-02,0.91,0.49,0.91,0.65,0.80,0.72,0.50,0.54,,,,,,,,,,,,,,,,,
012102,N. Bay sta. 2,21-Jan-02,0.28,0.48,1.52,0.54,0.30,0.51,1.77,0.57,,21-Jan-02,0.63,0.48,2.86,0.54,0.48,0.59,2.00,0.57,,,,,,,,,,,,,,,,,
012802,N. Bay sta. 2,28-Jan-02,1.05,0.66,0.93,0.64,1.22,0.60,0.88,0.65,,28-Jan-02,2.30,0.66,1.75,0.64,1.94,0.70,1.00,0.65,,,,,,,,,,,,,,,,,
020402,N. Bay sta. 2,04-Feb-02,1.12,0.57,2.23,1.06,1.97,0.89,2.08,1.06,,04-Feb-02,2.47,0.57,4.21,1.06,3.13,1.03,2.35,1.06,,,,,,,,,,,,,,,,,
021102,N. Bay sta. 2,11-Feb-02,1.56,0.92,1.32,1.01,1.29,0.82,1.28,0.86,,11-Feb-02,3.43,0.92,2.48,1.01,2.05,0.94,1.45,0.86,,,,,,,,,,,,,,,,,
021802,N. Bay sta. 2,18-Feb-02,2.56,1.13,2.67,1.11,2.04,0.92,2.34,0.92,,18-Feb-02,5.62,1.13,5.03,1.11,3.24,1.07,2.66,0.92,,,,,,,,,,,,,,,,,
022502,N. Bay sta. 2,25-Feb-02,14.38,2.25,9.92,1.92,7.78,1.70,4.54,1.55,,25-Feb-02,31.55,2.25,18.68,1.92,12.36,1.96,5.14,1.55,,,,,,,,,,,,,,,,,
030402,N. Bay sta. 2,04-Mar-02,2.10,1.55,1.86,1.16,1.99,1.15,1.49,1.38,,04-Mar-02,4.61,1.55,3.51,1.16,3.16,1.33,1.69,1.38,,,,,,,,,,,,,,,,,
031102,N. Bay sta. 2,11-Mar-02,1.68,0.56,0.88,0.96,2.01,0.79,0.90,0.84,,11-Mar-02,3.70,0.56,1.66,0.96,3.20,0.92,1.02,0.84,,,,,,,,,,,,,,,,,
031802,N. Bay sta. 2,18-Mar-02,2.06,0.87,2.43,0.95,0.92,0.91,1.18,0.89,,18-Mar-02,4.53,0.87,4.57,0.95,1.46,1.05,1.34,0.89,,,,,,,,,,,,,,,,,
032502,N. Bay sta. 2,25-Mar-02,1.46,0.94,1.41,1.05,1.43,0.92,1.37,0.81,,25-Mar-02,3.20,0.94,2.66,1.05,2.28,1.07,1.55,0.81,,,,,,,,,,,,,,,,,
040102,N. Bay sta. 2,01-Apr-02,1.16,1.25,1.82,1.08,1.04,1.07,1.68,1.33,,01-Apr-02,2.54,1.25,3.43,1.08,1.65,1.23,1.90,1.33,,,,,,,,,,,,,,,,,
040802,N. Bay sta. 2,08-Apr-02,0.98,0.91,1.51,1.09,1.03,0.83,1.41,1.05,,08-Apr-02,2.15,0.91,2.85,1.09,1.64,0.96,1.60,1.05,,,,,,,,,,,,,,,,,
041502,N. Bay sta. 2,15-Apr-02,1.20,1.40,1.25,1.36,1.17,1.24,1.15,1.25,,15-Apr-02,2.64,1.40,2.35,1.36,1.86,1.44,1.30,1.25,,,,,,,,,,,,,,,,,
042202,N. Bay sta. 2,22-Apr-02,2.47,1.66,1.93,1.88,1.77,1.68,1.62,1.89,,22-Apr-02,5.42,1.66,3.64,1.88,2.81,1.94,1.83,1.89,,,,,,,,,,,,,,,,,
042902,N. Bay sta. 2,29-Apr-02,1.51,1.52,1.66,1.78,1.27,1.76,1.16,1.76,,29-Apr-02,3.32,1.52,3.13,1.78,2.02,2.04,1.31,1.76,,,,,,,,,,,,,,,,,
050602,N. Bay sta. 2,06-May-02,3.51,2.00,3.52,2.12,3.17,1.27,3.48,1.98,,06-May-02,7.69,2.00,6.62,2.12,5.04,1.47,3.94,1.98,,,,,,,,,,,,,,,,,
051302,N. Bay sta. 2,13-May-02,3.21,1.19,4.78,1.58,2.92,1.64,2.76,1.52,,13-May-02,7.04,1.19,9.00,1.58,4.65,1.90,3.13,1.52,,,,,,,,,,,,,,,,,
052202,N. Bay sta. 2,22-May-02,4.87,4.05,4.89,2.17,6.90,1.66,3.96,2.18,,22-May-02,10.70,4.05,9.20,2.17,10.98,1.92,4.49,2.18,,,,,,,,,,,,,,,,,
052702,N. Bay sta. 2,27-May-02,2.30,1.39,2.77,1.89,2.00,1.41,2.18,1.97,,27-May-02,5.04,1.39,5.21,1.89,3.18,1.63,2.47,1.97,,,,,,,,,,,,,,,,,
060302,,03-Jun-02,2.41,1.21,2.01,1.20,2.36,0.99,1.76,1.20,,03-Jun-02,5.29,1.21,3.78,1.20,3.76,1.14,2.00,1.20,,,,,,,,,,,,,,,,,
061002,N. Bay sta. 2,10-Jun-02,2.46,1.23,3.04,2.00,1.12,0.87,0.85,1.21,,10-Jun-02,5.41,1.23,5.72,2.00,1.78,1.01,0.96,1.21,,,,,,,,,,,,,,,,,
061702,N. Bay sta. 2,17-Jun-02,2.75,0.59,2.13,1.20,1.68,1.04,1.11,1.18,,17-Jun-02,6.04,0.59,4.00,1.20,2.67,1.20,1.26,1.18,,,,,,,,,,,,,,,,,
062402,N. Bay sta. 2,24-Jun-02,3.18,1.67,2.82,1.66,1.33,1.35,1.42,1.57,,24-Jun-02,6.98,1.67,5.31,1.66,2.12,1.56,1.61,1.57,,,,,,,,,,,,,,,,,
070102,N. Bay sta. 2,01-Jul-02,5.41,2.09,2.08,1.31,2.47,0.98,1.57,0.99,,01-Jul-02,11.88,2.09,3.92,1.31,3.93,1.13,1.77,0.99,,,,,,,,,,,,,,,,,
070902,N. Bay sta. 2,09-Jul-02,2.80,1.40,3.08,2.06,1.94,1.22,2.12,1.37,,09-Jul-02,6.13,1.40,5.80,2.06,3.09,1.41,2.40,1.37,,,,,,,,,,,,,,,,,
071502,N. Bay sta. 2,15-Jul-02,2.23,1.26,1.59,1.34,1.65,0.98,1.18,1.06,,15-Jul-02,4.89,1.26,2.99,1.34,2.62,1.13,1.34,1.06,,,,,,,,,,,,,,,,,
072202,N. Bay sta. 2,22-Jul-02,3.12,1.81,1.81,1.98,2.67,1.87,1.99,2.33,,22-Jul-02,6.84,1.81,3.42,1.98,4.24,2.16,2.26,2.33,,,,,,,,,,,,,,,,,
072902,N. Bay sta. 2,29-Jul-02,3.71,1.77,1.66,1.71,2.91,2.24,1.55,1.54,,29-Jul-02,8.14,1.77,3.12,1.71,4.63,2.59,1.76,1.54,,,,,,,,,,,,,,,,,
080502,N. Bay sta. 2,05-Aug-02,2.91,1.59,2.75,1.78,2.29,1.21,1.57,1.04,,05-Aug-02,6.39,1.59,5.17,1.78,3.64,1.40,1.77,1.04,,,,,,,,,,,,,,,,,
081202,N. Bay sta. 2,12-Aug-02,3.97,1.25,2.39,1.06,3.48,1.29,1.86,0.89,,12-Aug-02,8.70,1.25,4.51,1.06,5.52,1.49,2.11,0.89,,,,,,,,,,,,,,,,,
081902,N. Bay sta. 2,19-Aug-02,6.24,0.91,2.74,1.19,6.92,1.48,2.29,0.94,,19-Aug-02,13.69,0.91,5.16,1.19,11.00,1.71,2.60,0.94,,,,,,,,,,,,,,,,,
082702,GSO Dock,27-Aug-02,1.23,0.64,,,1.16,0.60,,,,27-Aug-02,2.70,0.64,,,1.84,0.69,,,,,,,,,,,,,,,,,,,
090602,GSO Dock,06-Sep-02,0.64,0.31,,,0.89,0.47,,,,06-Sep-02,1.40,0.31,,,1.41,0.54,,,,,,,,,,,,,,,,,,,
091102,N. Bay sta. 2,11-Sep-02,4.52,1.27,2.48,0.62,3.69,0.81,2.21,0.64,,11-Sep-02,9.92,1.27,4.67,0.62,5.87,0.94,2.50,0.64,,,,,,,,,,,,,,,,,
091602,N. Bay sta. 2,16-Sep-02,3.62,0.93,1.89,0.46,2.82,0.90,2.70,1.02,,16-Sep-02,7.94,0.93,3.57,0.46,4.49,1.04,3.07,1.02,,,,,,,,,,,,,,,,,
092302,N. Bay sta. 2,23-Sep-02,7.34,1.96,5.43,1.12,3.82,1.36,3.11,1.64,,23-Sep-02,16.10,1.96,10.22,1.12,6.07,1.57,3.52,1.64,,,,,,,,,,,,,,,,,
093002,N. Bay sta. 2,30-Sep-02,8.05,0.88,3.50,0.84,9.16,0.90,2.38,0.83,,30-Sep-02,17.67,0.88,6.58,0.84,14.56,1.04,2.70,0.83,,,,,,,,,,,,,,,,,
100702,N. Bay sta. 2,07-Oct-02,2.54,0.16,3.62,0.56,2.24,0.42,2.60,0.41,,07-Oct-02,5.57,0.16,6.81,0.56,3.56,0.48,2.95,0.41,,,,,,,,,,,,,,,,,
101502,N. Bay sta. 2,15-Oct-02,2.58,0.35,2.77,0.38,1.53,0.20,1.45,0.19,,15-Oct-02,5.67,0.35,5.21,0.38,2.44,0.24,1.64,0.19,,,,,,,,,,,,,,,,,
102102,N. Bay sta. 2,21-Oct-02,1.51,0.09,1.70,0.25,0.93,0.03,0.91,0.09,,21-Oct-02,3.31,0.09,3.21,0.25,1.47,0.03,1.03,0.09,,,,,,,,,,,,,,,,,
102802,N. Bay sta. 2,28-Oct-02,3.25,0.16,2.53,0.20,1.04,0.15,1.04,0.15,,28-Oct-02,7.12,0.16,4.76,0.20,1.65,0.18,1.18,0.15,,,,,,,,,,,,,,,,,
110402,N. Bay sta. 2,04-Nov-02,4.64,0.89,2.52,0.73,0.89,0.28,0.74,0.38,,04-Nov-02,10.17,0.89,4.74,0.73,1.41,0.33,0.84,0.38,,,,,,,,,,,,,,,,,
111102,N. Bay sta. 2,11-Nov-02,1.85,0.31,2.50,0.55,1.35,0.38,1.46,0.36,,11-Nov-02,4.06,0.31,4.70,0.55,2.15,0.44,1.65,0.36,,,,,,,,,,,,,,,,,
111802,N. Bay sta. 2,18-Nov-02,0.68,-0.08,1.02,0.08,0.69,-0.04,0.64,-0.23,,18-Nov-02,1.49,-0.08,1.92,0.08,1.09,-0.05,0.73,-0.23,,,,,,,,,,,,,,,,,
112502,N. Bay sta. 2,25-Nov-02,1.27,-0.26,0.98,-0.22,1.12,-0.29,0.90,-0.24,,25-Nov-02,2.78,-0.26,1.85,-0.22,1.78,-0.34,1.02,-0.24,,,,,,,,,,,,,,,,,
120202,N. Bay sta. 2,02-Dec-02,2.82,-0.10,1.71,-0.02,2.76,-0.17,1.79,-0.04,,02-Dec-02,6.19,-0.10,3.21,-0.02,4.38,-0.20,2.02,-0.04,,,,,,,,,,,,,,,,,
120902,N. Bay sta. 2,09-Dec-02,3.55,0.69,4.61,0.88,3.24,0.57,2.90,0.58,,09-Dec-02,7.80,0.69,8.68,0.88,5.15,0.66,3.29,0.58,,,,,,,,,,,,,,,,,
121602,N. Bay sta. 2,16-Dec-02,3.11,0.04,2.87,0.16,1.30,-0.18,1.18,-0.13,,16-Dec-02,6.82,0.04,5.40,0.16,2.06,-0.21,1.34,-0.13,,,,,,,,,,,,,,,,,
122002,N. Bay sta. 2,20-Dec-02,3.05,-0.42,3.89,-0.40,0.66,-0.21,1.01,-0.68,,20-Dec-02,6.69,-0.42,7.33,-0.40,1.04,-0.24,1.15,-0.68,,,,,,,,,,,,,,,,,
010303,N. Bay sta. 2,03-Jan-03,4.25,-0.27,5.22,-0.13,4.69,-0.41,0.89,-0.45,,03-Jan-03,9.33,-0.27,9.83,-0.13,7.46,-0.47,1.00,-0.45,,,,,,,,,,,,,,,,,
010603,N. Bay sta. 2,06-Jan-03,2.53,0.76,3.88,0.36,0.55,0.10,1.40,-0.72,,06-Jan-03,5.56,0.76,7.30,0.36,0.87,0.12,1.58,-0.72,,,,,,,,,,,,,,,,,
011303,N. Bay sta. 2,13-Jan-03,3.58,0.06,1.73,-0.45,0.52,-0.52,0.81,-0.61,,13-Jan-03,7.87,0.06,3.27,-0.45,0.83,-0.60,0.92,-0.61,,,,,,,,,,,,,,,,,
012003,N. Bay sta. 2,20-Jan-03,2.72,-0.10,2.02,-0.73,0.81,-0.84,0.96,-0.77,,20-Jan-03,5.98,-0.10,3.79,-0.73,1.29,-0.98,1.08,-0.77,,,,,,,,,,,,,,,,,
012703,N. Bay sta. 2,27-Jan-03,5.31,-0.78,3.38,-0.80,1.58,-0.78,1.81,-0.72,,27-Jan-03,11.66,-0.78,6.37,-0.80,2.51,-0.90,2.05,-0.72,,,,,,,,,,,,,,,,,
020303,N. Bay sta. 2,03-Feb-03,6.04,6.97,6.03,6.65,0.68,1.08,1.16,1.88,,03-Feb-03,13.25,6.97,11.35,6.65,1.08,1.25,1.31,1.88,,,,,,,,,,,,,,,,,
021003,N. Bay sta. 2,10-Feb-03,2.28,2.79,3.30,4.54,0.37,0.88,1.27,2.02,,10-Feb-03,5.00,2.79,6.21,4.54,0.59,1.02,1.43,2.02,,,,,,,,,,,,,,,,,
022003,N. Bay sta. 2,20-Feb-03,4.16,5.16,5.97,7.95,0.45,1.25,2.37,3.07,,20-Feb-03,9.13,5.16,11.24,7.95,0.72,1.44,2.69,3.07,,,,,,,,,,,,,,,,,
022403,N. Bay sta. 2,24-Feb-03,2.75,3.83,4.16,5.30,0.55,1.49,1.95,3.02,,24-Feb-03,6.02,3.83,7.83,5.30,0.88,1.73,2.21,3.02,,,,,,,,,,,,,,,,,
030303,N. Bay sta. 2,03-Mar-03,2.74,3.33,2.98,3.85,0.68,1.40,0.67,1.51,,03-Mar-03,6.02,3.33,5.61,3.85,1.07,1.62,0.76,1.51,,,,,,,,,,,,,,,,,
031003,N. Bay sta. 2,10-Mar-03,1.68,1.99,2.00,2.38,0.54,0.93,0.65,0.97,,10-Mar-03,3.69,1.99,3.76,2.38,0.85,1.07,0.74,0.97,,,,,,,,,,,,,,,,,
031903,N. Bay sta. 2,19-Mar-03,3.15,3.73,3.38,3.96,1.03,1.38,1.63,2.16,,19-Mar-03,6.92,3.73,6.37,3.96,1.64,1.59,1.85,2.16,,,,,,,,,,,,,,,,,
032403,N. Bay sta. 2,24-Mar-03,3.82,4.17,2.09,3.43,2.22,2.87,0.91,1.84,,24-Mar-03,8.38,4.17,3.93,3.43,3.53,3.32,1.03,1.84,,,,,,,,,,,,,,,,,
033103,N. Bay sta. 2,31-Mar-03,5.02,5.96,3.97,5.02,0.84,1.30,0.91,1.53,,31-Mar-03,11.01,5.96,7.48,5.02,1.33,1.50,1.03,1.53,,,,,,,,,,,,,,,,,
040903,N. Bay sta. 2,09-Apr-03,7.52,1.72,7.53,1.26,1.80,0.76,2.40,0.91,,09-Apr-03,16.50,1.72,14.18,1.26,2.87,0.88,2.72,0.91,,,,,,,,,,,,,,,,,
041403,N. Bay sta. 2,14-Apr-03,7.60,1.32,5.92,1.42,2.35,0.51,0.97,0.32,,14-Apr-03,16.67,1.32,11.15,1.42,3.73,0.59,1.11,0.32,,,,,,,,,,,,,,,,,
042303,N. Bay sta. 2,23-Apr-03,3.97,1.05,2.57,1.21,3.04,0.93,2.80,1.27,,23-Apr-03,8.71,1.05,4.84,1.21,4.84,1.08,3.17,1.27,,,,,,,,,,,,,,,,,
042803,N. Bay sta. 2,28-Apr-03,1.16,1.25,0.74,1.28,1.09,1.16,0.61,1.07,,28-Apr-03,2.55,1.25,1.40,1.28,1.73,1.34,0.69,1.07,,,,,,,,,,,,,,,,,
050503,N. Bay sta. 2,05-May-03,2.15,0.72,1.85,0.75,1.36,0.70,0.94,0.76,,05-May-03,4.72,0.72,3.49,0.75,2.16,0.81,1.06,0.76,,,,,,,,,,,,,,,,,
051203,N. Bay sta. 2,12-May-03,0.92,0.71,1.49,1.10,0.58,0.65,0.77,0.91,,12-May-03,2.03,0.71,2.80,1.10,0.92,0.76,0.88,0.91,,,,,,,,,,,,,,,,,
052103,N. Bay sta. 2,21-May-03,2.54,0.33,2.54,0.83,2.31,0.62,3.77,0.94,,21-May-03,5.57,0.33,4.79,0.83,3.67,0.72,4.28,0.94,,,,,,,,,,,,,,,,,
052803,Station 2,28-May-03,0.39,0.61,0.63,1.35,0.55,0.91,0.60,1.43,,28-May-03,0.86,0.61,1.19,1.35,0.88,1.05,0.68,1.43,,,,,,,,,,,,,,,,,
060403,N. Bay sta. 2,04-Jun-03,4.21,0.67,2.33,1.34,3.81,1.38,0.79,0.63,,04-Jun-03,9.24,0.67,4.38,1.34,6.05,1.60,0.90,0.63,,,,,,,,,,,,,,,,,
060903,N. Bay sta. 2,09-Jun-03,5.74,2.73,2.80,0.92,5.29,2.67,2.96,1.34,,09-Jun-03,12.60,2.73,5.28,0.92,8.41,3.09,3.35,1.34,,,,,,,,,,,,,,,,,
061603,N. Bay sta. 2,16-Jun-03,4.32,2.06,,,4.22,1.57,,,,16-Jun-03,9.47,2.06,,,6.70,1.82,,,,,,,,,,,,,,,,,,,
062303,N. Bay sta. 2,23-Jun-03,2.60,10.69,4.37,2.72,4.59,3.68,1.41,1.24,,23-Jun-03,5.71,10.69,8.22,2.72,7.30,4.25,1.60,1.24,,,,,,,,,,,,,,,,,
063003,N. Bay sta. 2,30-Jun-03,4.73,2.13,5.21,2.55,1.38,1.11,0.58,1.13,,30-Jun-03,10.37,2.13,9.80,2.55,2.19,1.29,0.66,1.13,,,,,,,,,,,,,,,,,
070903,N. Bay sta. 2,09-Jul-03,1.90,1.65,3.34,0.27,0.59,1.00,1.02,1.66,,09-Jul-03,4.18,1.65,6.30,0.27,0.93,1.16,1.15,1.66,,,,,,,,,,,,,,,,,
071403,N. Bay sta. 2,14-Jul-03,2.88,2.02,1.43,1.66,1.47,1.43,0.75,1.12,,14-Jul-03,6.31,2.02,2.69,1.66,2.34,1.65,0.85,1.12,,,,,,,,,,,,,,,,,
072103,N. Bay sta. 2,21-Jul-03,0.26,3.98,1.60,1.74,1.04,1.25,0.41,0.82,,21-Jul-03,0.57,3.98,3.02,1.74,1.65,1.44,0.47,0.82,,,,,,,,,,,,,,,,,
072803,N. Bay sta. 2,28-Jul-03,1.44,2.99,1.54,1.72,0.66,0.42,0.63,1.58,,28-Jul-03,3.16,2.99,2.89,1.72,1.05,0.48,0.72,1.58,,,,,,,,,,,,,,,,,
080403,N. Bay sta. 2,04-Aug-03,1.87,1.50,1.53,1.83,1.19,1.08,1.28,1.20,,04-Aug-03,4.10,1.50,2.89,1.83,1.90,1.26,1.45,1.20,,,,,,,,,,,,,,,,,
081303,N. Bay sta. 2,13-Aug-03,1.96,1.26,1.28,1.56,3.94,2.59,0.73,1.10,,13-Aug-03,4.30,1.26,2.40,1.56,6.26,3.00,0.83,1.10,,,,,,,,,,,,,,,,,
082003,N. Bay sta. 2,20-Aug-03,3.27,2.08,0.88,1.24,2.96,2.02,0.86,1.24,,20-Aug-03,7.18,2.08,1.66,1.24,4.71,2.33,0.97,1.24,,,,,,,,,,,,,,,,,
082703,N. Bay sta. 2,27-Aug-03,4.81,1.44,0.66,1.14,6.20,0.90,0.44,0.71,,27-Aug-03,10.57,1.44,1.24,1.14,9.86,1.04,0.50,0.71,,,,,,,,,,,,,,,,,
090303,N. Bay sta. 2,03-Sep-03,2.35,1.80,3.13,2.35,2.12,1.99,1.22,1.17,,03-Sep-03,5.16,1.80,5.89,2.35,3.37,2.30,1.38,1.17,,,,,,,,,,,,,,,,,
091003,N. Bay sta. 2,10-Sep-03,6.99,1.60,6.64,2.59,5.58,2.44,3.84,3.68,,10-Sep-03,15.33,1.60,12.51,2.59,8.87,2.83,4.35,3.68,,,,,,,,,,,,,,,,,
091703,N. Bay sta. 2,17-Sep-03,2.22,1.84,1.23,4.18,1.92,1.69,1.69,1.70,,17-Sep-03,4.88,1.84,2.32,4.18,3.06,1.96,1.91,1.70,,,,,,,,,,,,,,,,,
092903,N. Bay sta. 2,29-Sep-03,2.75,1.81,1.67,1.70,2.64,1.82,1.77,1.64,,29-Sep-03,6.04,1.81,3.14,1.70,4.19,2.11,2.01,1.64,,,,,,,,,,,,,,,,,
100803,N. Bay sta. 2,08-Oct-03,2.17,1.28,2.34,1.25,2.20,1.35,1.84,1.12,,08-Oct-03,4.77,1.28,4.40,1.25,3.50,1.56,2.08,1.12,,,,,,,,,,,,,,,,,
101503,N. Bay sta. 2,15-Oct-03,1.67,1.44,1.65,1.16,1.66,1.05,1.64,0.96,,15-Oct-03,3.67,1.44,3.10,1.16,2.64,1.22,1.85,0.96,,,,,,,,,,,,,,,,,
102203,N. Bay sta. 2,22-Oct-03,1.18,0.89,1.05,0.84,1.14,0.83,0.97,0.94,,22-Oct-03,2.60,0.89,1.98,0.84,1.82,0.96,1.10,0.94,,,,,,,,,,,,,,,,,
102903,N. Bay sta. 2,29-Oct-03,1.07,0.94,0.95,0.86,0.91,0.79,1.02,0.78,,29-Oct-03,2.36,0.94,1.80,0.86,1.45,0.91,1.15,0.78,,,,,,,,,,,,,,,,,
110303,N. Bay sta. 2,03-Nov-03,1.35,1.10,0.70,0.90,1.36,0.94,0.71,0.96,,03-Nov-03,2.97,1.10,1.32,0.90,2.16,1.09,0.80,0.96,,,,,,,,,,,,,,,,,
111003,N. Bay sta. 2,10-Nov-03,1.18,0.93,1.08,0.94,0.96,0.90,0.52,0.75,,10-Nov-03,2.60,0.93,2.02,0.94,1.53,1.04,0.59,0.75,,,,,,,,,,,,,,,,,
111703,N. Bay sta. 2,17-Nov-03,0.85,0.38,0.58,0.66,0.45,0.56,0.43,0.56,,17-Nov-03,1.86,0.38,1.08,0.66,0.71,0.65,0.49,0.56,,,,,,,,,,,,,,,,,
112403,N. Bay sta. 2,24-Nov-03,0.97,0.77,0.74,0.74,0.67,0.74,0.55,0.82,,24-Nov-03,2.12,0.77,1.40,0.74,1.07,0.85,0.63,0.82,,,,,,,,,,,,,,,,,
120103,N. Bay sta. 2,01-Dec-03,1.18,0.76,1.45,0.91,0.90,0.78,1.27,0.84,,01-Dec-03,2.58,0.76,2.72,0.91,1.44,0.90,1.43,0.84,,,,,,,,,,,,,,,,,
120903,N. Bay sta. 2,09-Dec-03,0.77,0.76,0.87,0.95,0.98,1.54,0.67,0.86,,09-Dec-03,1.69,0.76,1.64,0.95,1.55,1.78,0.76,0.86,,,,,,,,,,,,,,,,,
